playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,temp,lyrics
Christmas Classics,Brenda Lee,Rockin' Around The Christmas Tree,https://open.spotify.com/track/28fuXrmmF9dYWx25dMW9dP,0.679,0.554,-6.413,0.871,141.264,"

[Chorus]
Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Ev'ry couple tries to stop

Rockin' around the Christmas tree
Let the Christmas spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling

[Bridge]
You will get a sentimental feeling when you hear
Voices singing ""Let's be jolly -
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way

[Bridge]
You will get a sentimental feeling when you hear
Voices singing ""Let's be jolly -
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way

"
Christmas Classics,Perry Como,It's Beginning to Look a Lot Like Christmas,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,0.725,0.276,-12.25,0.717,112.89,"

It's beginning to look a lot like Christmas
Everywhere you go
Take a look in the five-and-ten
Glistening once again
With candy canes and silver lanes aglow

It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see
Is the holly that will be
On your own front door

A pair of hop along boots and a pistol that shoots
Is the wish of Barney and Ben
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen
And mom and dad can hardly wait for school to start again

It's beginning to look a lot like Christmas
Everywhere you go
Now there's a tree in the Grand Hotel
One in the park as well
The sturdy kind that doesn't mind the snow

It's beginning to look a lot like Christmas
Soon the bells will start
And the thing that will make them ring
Is the carol that you sing
Right within your heart

A pair of hop along boots and a pistol that shoots
Is the wish of Barney and Ben
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen
And mom and dad can hardly wait for school to start again

Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha!

It's beginning to look a lot like Christmas
Soon the bells will start
And the thing that will make them ring
Is the carol that you sing
Right within your heart

"
Christmas Classics,Bing Crosby,Winter Wonderland - Remastered 2006,https://open.spotify.com/track/2IuUMx3uxxJAHcH41aYtn0,0.592,0.23,-13.603,0.537,126.655,"

Sleigh bells ring are you listening
In the lane snow is glistening
A beautiful sight we're happy tonight
Walking in a winter wonderland
Gone away is the bluebird
Here to stay is a new bird
He sings a love song as we go along
Walking in a winter wonderland
In the meadow we can build a snowman
Then pretend that he is Parson Brown
He'll say ""Are you married?"" We'll say ""No man""
But you can do the job when you're in town
Later on we'll conspire
As we dream by the fire
To face unafraid the plans that we've made
Walking in a winter wonderland
Over the ground lies the mantle of light
A heaven of diamond in the lovely night
In the meadow we can build a snowman
Then give him a name and call him Parson Brown
He'll say ""Are you married?"" And then we'll say ""No man""
But now you can do the job whenever you're in town
Later on we'll conspire
As we dream sittin' by the fire
To face unafraid all the plans that we've made
Walking in a winter wonderland
Sleigh bells ring are you listening
In the lane snow is glistening
A beautiful sight we're happy tonight
Walking in a winter wonderland
Walking walking in a winter wonderland

"
Christmas Classics,Andy Williams,It's the Most Wonderful Time of the Year,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,0.24,0.598,-8.435,0.776,202.082,"

[Chorus]
It's the most wonderful time of the year
With the kids jingle belling
And everyone telling you ""be of good cheer""
It's the most wonderful time of the year

[Verse 1]
It's the hap-happiest season of all
With those holiday greetings
And gay happy meetings when friends come to call
It's the hap-happiest season of all

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time of the year

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time of the year

"
Christmas Classics,Judy Garland,Have Yourself A Merry Little Christmas,https://open.spotify.com/track/2Ys2W5325tmTjGggy7u2l4,0.255,0.206,-12.735,0.115,81.943,"

[Verse 1]
Have yourself a merry little Christmas
Let your heart be light
Next year all our troubles
Will be out of sight

[Verse 2]
Have yourself a merry little Christmas
Make the Yuletide gay
Next year all our troubles
Will be miles away

[Verse 3]
Once again as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Will be near to us once more

[Outro]
Someday soon we all will be together
If the fates allow
Until then we'll have to muddle through somehow
So have yourself a merry little Christmas now

"
Christmas Classics,Carpenters,Sleigh Ride,https://open.spotify.com/track/4BlfbK43tjLBnFsTuJhR4J,0.64,0.377,-12.346,0.582,100.963,"

Just hear those sleigh bells jingling
Ring-ting-tingling too
Come on it's lovely weather
For a sleigh ride together with you

Outside the snow is falling
And friends are calling yoo-hoo
Come on it's lovely weather
For a sleigh ride together with you

Let's take the road before us
And sing a chorus or two
Come on it's lovely weather
For a sleigh ride together with you

Giddy-up giddy-up giddy-up let's go
Let's look at the show
We're riding in a wonderland of snow

Giddy-up giddy-up giddy-up it's grand
Just holding your hand

Our cheeks are nice and rosy
And comfy cozy are we
We're snuggled up together
Like birds of a feather would be

Let's take the road before us
And sing a chorus or two
Come on it's lovely weather
For a sleigh ride together with you

There's a Christmas party at the home of Farmer Gray
It'll be the perfect ending of a perfect day
We'll be singing the songs we love to sing without a single stop
At the fireplace while we watch the chestnuts pop
Pop pop pop

There's a happy feeling nothing in the world can buy
As they pass around the coffee and the pumpkin pie
It'll nearly be like a picture print by Currier and Ives
These wonderful things are the things we remember all through our lives

Just hear those sleigh bells jingling
Ring-ting-tingling too
Come on it's lovely weather
For a sleigh ride together with you

Let's take that road before us
And sing a chorus or two
Come on it's lovely weather
For a sleigh ride together with you

Ba ba ba ba da

"
Christmas Classics,Bobby Helms,Jingle Bell Rock,https://open.spotify.com/track/6xE98wKYt4vZk8j7cctjw8,0.662,0.403,-12.029,0.85,119.891,"

Jingle bell jingle bell jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now the jingle hop has begun

Jingle bell jingle bell jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

Giddy-up jingle horse pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell rock

Jingle bell jingle bell jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

Giddy-up jingle horse pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell
That's the jingle bell
That's the jingle bell rock

"
Christmas Classics,Burl Ives,A Holly Jolly Christmas - Single Version,https://open.spotify.com/track/33BcB8XVwJU4qB7bDSkVya,0.665,0.363,-12.983,0.824,140.296,"

(Ding-dong-ding)
(Ding-dong-ding)

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh ho the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) And in case you didn't hear
Oh by golly have a holly jolly Christmas this year

Have a holly jolly Christmas
It's the best time of the year

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh ho the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) And in case you didn't here
Oh by golly have a holly jolly Christmas this year

(Ding-dong-ding-dong)
(Ding-dong-ding-dong)
(Ding-dong-ding)

"
Christmas Classics,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! - 78rpm Version,https://open.spotify.com/track/4yV74JwUiz7YS59ReFtI3D,0.603,0.321,-11.489,0.844,143.104,"

Oh the weather outside is frightful
But the fire is so delightful
Since we've no place to go
Let it snow let it snow let it snow!

It doesn't show signs of stopping
And I brought some corn for popping
The lights are turned down low
Let it snow let it snow let it snow!

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really hold me tight
All the way home I'll be warm

The fire is slowly dying
And my dear we're still goodbying
As long as you love me so
Let it snow let it snow let it snow!

He doesn't care if it's in below
He's sitting by the fires gloosy glow
He don't care about the cold and the winds that blow
He just says let it snow let it snow let it snow

Let it snow!

Oooooh wee goes the storm
Why should he worry when he's nice and warm
His gal by his side and the lights turned low
He just says let it snow let it snow let it snow

I don't care!

The weather outside is frightful
But that fire is mmm-delightful
Since we've no place to go
Let it snow let it snow let it snow!

It doesn't show signs of stopping
And I've brought lots of corn for popping
The lights are way down low
So let it snow let it snow let it snow!

Let it snow!

When we finally say goodnight
How I'll hate going out in a storm
But if you'll only hold me yight
All the way home I'll be warm

The fire is slowly dying
And my dear we're still goodbying
Long as you love me so
Let it snow let it snow let it snow!

"
Christmas Classics,Eartha Kitt,Santa Baby,https://open.spotify.com/track/1vZKP9XURuqMp1SpXGnoyb,0.704,0.103,-15.056,0.469,84.511,"

[Verse 1]
Santa baby just slip a sable under the tree
For me
Been an awful good girl
Santa baby so hurry down the chimney tonight

[Verse 2]
Santa baby a 54 convertible too
Light blue
I'll wait up for you dear
Santa baby so hurry down the chimney tonight

[Chorus]
Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be just as good
If you'll check off my Christmas list

[Verse 3]
Santa baby I wanna yacht
And really that's not a lot
Been an angel all year
Santa baby so hurry down the chimney tonight

[Verse 4]
Santa honey one little thing I really need
The deed
To a platinum mine
Santa baby so hurry down the chimney tonight

[Verse 5]
Santa cutie and fill my stocking with a duplex
And checks
Sign your 'X' on the line
Santa cutie and hurry down the chimney tonight

[Bridge]
Come and trim my Christmas tree
With some decorations bought at Tiffany's
I really do believe in you
Let's see if you believe in me

[Outro]
Santa baby forgot to mention one little thing
A ring
I don't mean on the phone
Santa baby so hurry down the chimney tonight
Hurry down the chimney tonight
Hurry tonight

"
