playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,temp,lyrics
Christmas Crooners,Tony Bennett,Winter Wonderland,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ,0.452,0.366,-14.15,0.629,115.006,"

Sleigh bells ring are you listening
In the lane snow is glistening
A beautiful sight
We're happy tonight
Walking in a winter wonderland

Gone stray is the bluebird
Here to stay is a new bird
He sings a love song
As we go along
Walking in a winter wonderland

In the meadow we can build a snowman
Then pretend that he is Parson Brown

He'll say: Are you married?
We'll say: No man
But you can do the job
When you're in town

Later on we'll conspire
As we dream by the fire
To face unafraid
The plans that we've made
Walking in a winter wonderland

In the meadow we can build a snowman
And pretend that he's a circus clown
We'll have lots of fun with mister snowman
Until the other kiddies knock him down

When it snows ain't it thrilling
Though your nose gets a chilling
We'll frolic and play the Eskimo way
Just walking talking
Hand in hand in a crazy winter wonderland

"
Christmas Crooners,Nat King Cole,The Christmas Song (Merry Christmas To You) - Remastered 1999,https://open.spotify.com/track/4cqLCCMzG6GQ9Bch2PBzFp,0.381,0.141,-15.439,0.18,131.76,"

Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some mistletoe
Help to make the season bright
Tiny tots with their eyes all aglow
Will find it hard to sleep tonight

They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh
And every mother's child is gonna spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
To kids from one to ninety-two
Although it's been said many times many ways
Merry Christmas to you

And so I'm offering this simple phrase
To kids from one to ninety-two
Although it's been said many times many ways
Merry Christmas to you

"
Christmas Crooners,Michael Bublé,Holly Jolly Christmas,https://open.spotify.com/track/5PuKlCjfEVIXl0ZBp5ZW9g,0.647,0.465,-8.308,0.699,151.251,"

Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer
Have a holly jolly Christmas
And when you walk down the street
Say Hello to friends you know
And everyone you meet

Oh ho the mistletoe
Is hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly jolly Christmas
And in case you didn't hear
Oh by golly have a holly
Jolly Christmas this year

[Instrumental]

Oh ho the mistletoe
Is hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly jolly Christmas
And in case you didn't hear
Oh by golly have a holly
Jolly Christmas this year

"
Christmas Crooners,Bing Crosby,It's Beginning To Look A Lot Like Christmas,https://open.spotify.com/track/6yaxdh87KVj82QIYKTP1zt,0.423,0.301,-12.301,0.553,136.791,"

T's beginning to look a lot like Christmas
Everywhere you go
Take a look in the Five and Ten
Glistening once again
With candy canes and silver lanes aglow

It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see
Is the holly that will be
On your own front door

A pair of Hop-a-long boots and a pistol that shoots
Is the wish of Bonny and Ben
Dolls that will talk and go for a walk
Is the hope of Janice and Jenn
And mom and dad can hardly wait
For school to start again

It's beginning to look a lot like Christmas
Everywhere you go
There's a tree in the Grand Hotel
One in the park as well
The sturdy kind that doesn't mind the snow

It's beginning to look a lot like Christmas
Soon the bells will start
And the thing that will make them ring
Is the Carol that you sing
Right within your heart

A pair of Hop-a-long boots and a pistol that shoots
Is the wish of Bonny and Ben
Dolls that will talk and go for a walk
Is the hope of Janice and Jenn
And mom and dad can hardly wait
For school to start again

It's beginning to look a lot like Christmas
Soon the bells will start
And the thing that will make them ring
Is the Carol that you sing
Right within your heart right within your heart

"
Christmas Crooners,Jamie Cullum,Let It Snow,https://open.spotify.com/track/6xMKRbvVJK44TFem9h22oB,0.478,0.63,-5.018,0.725,125.197,"

Oh the weather outside is frightful
But the fire is so delightful
The lights are turned way down low
Let it snow! Let it snow! Let it snow!
It doesn't show signs of stopping
And I've bought some corn for popping
And since we've no place to go
Let it snow! Let it snow! Let it snow!
When we finally kiss goodnight
How I'll hate going out in the snow!
But if you'll really hold me tight
All the way home I'll be warm
The fire is slowly dying
But my dear we're still goodbying
The lights are turned way down low
Let it snow! Let it snow! Let it snow!
When we finally kiss goodnight
How I'll hate going out in the snow!
But if you'll really hold me tight
All the way home I'll be warm
The fire is slowly dying
And my dear we're still goodbying
And since we've no place to go
Let it snow! Let it snow! Let it snow...!
Ouw!

"
Christmas Crooners,Nat King Cole,Joy To The World,https://open.spotify.com/track/5jjsm4Jjq8xjDaue3rW9Go,0.581,0.312,-12.938,0.536,102.107,"

Joy to the world
The Lord is come
Let earth receive her King
Let every heart prepare him room
And heaven and nature sing
And heaven and nature sing
And heaven and heaven and nature sing

Joy to the earth
The Saviour reigns
Let men their songs employ
While fields and floods
Rocks hills and plains
Repeat the sounding joy
Repeat the sounding joy
Repeat repeat the sounding joy

He rules the earth
With truth and grace
And makes the nations prove
The glories of his righteousnes
And wonders of his love
And wonders of his love
And wonders and wonders of his love

"
Christmas Crooners,Jule Styne,Let It Snow! Let It Snow! Let It Snow!,https://open.spotify.com/track/5kKbdqHWuqXThfnFRUrkox,0.5,0.413,-7.12,0.851,78.585,"

Oh the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow let it snow let it snow

It doesn't show signs of stopping
And I've bought some corn for popping
The lights are turned away down low
Let it snow let it snow let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you'll really hold me tight
All the way home I'll be warm

The fire is slowly dying
And my dear we're still good-bying
But as long as you love me so
Let it snow let it snow let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you'll really hold me tight
All the way home I'll be warm

The fire is slowly dying
And my dear we're still good-bying
But as long as you love me so
Let it snow let it snow let it snow
Let it snow let it snow let it snow
Let it snow let it snow let it snow

"
Christmas Crooners,Brett Eldredge,A Holly Jolly Christmas,https://open.spotify.com/track/1GpPsjjd4D1jsteGYpGGIN,0.681,0.474,-8.623,0.7,71.957,"
          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        "
Christmas Crooners,John Legend,Christmas Time Is Here,https://open.spotify.com/track/5xaV3gdr0AZH2S4bWIPkUv,0.464,0.489,-8.308,0.414,112.197,"

Christmas time is here
Happiness and cheer
Fun for all that children call
Their favorite time of year
Snowflakes in the air yeah
Carols everywhere oh
Olden times and ancient rhymes
Of love and dreams to share
Sleigh bells in the air
And beauty everywhere
Yuletide by the fireside
And joyful memories there
Christmas time is here
We'll be drawing near
Oh that we could always see
Such spirit through the year

Yeah Christmas time is here
We'll be drawing so near
Oh that we could always see
Such spirit through the year
Oh celebrate celebrate celebrate yea
It's Christmas time yeah
Mmm celebrate celebrate celebrate
Celebrate oh oh oh it's Christmas time right now
It's here it's here celebrate celebrate celebrate

"
Christmas Crooners,Barry Manilow,(There's No Place Like) Home for the Holidays,https://open.spotify.com/track/3jJLVy3NYbhPoJ8Vxb3523,0.514,0.656,-5.522,0.559,134.662,"

Oh there's no place like home for the holidays
'Cause no matter how far away you roam
When you pine for the sunshine of a friendly gaze
For the holidays you can't beat home sweet home

I met a man who lives in Tennessee
And he was headin' for
Pennsylvania and some homemade pumpkin pie
From Pennsylvania folks are trav'lin' down
To Dixie's sunny shore
From Atlantic to Pacific gee
The traffic is teriffic!

Oh there's no place like home for the holidays
'Cause no matter how far away you roam
When you pine for the sunshine of a friendly gaze
For the holidays you can't beat home sweet home

When you pine for the sunshine of a friendly gaze
For the holidays you can't beat home
Holidays you can't beat home
Holidays you can't beat homesweet home

"
Christmas Crooners,Bing Crosby,White Christmas,https://open.spotify.com/track/6fZweipV8OljhbSOtfIodm,0.236,0.222,-13.806,0.239,93.041,"

[Verse 1]
I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow

[Verse 2]
I'm dreaming of a white Christmas
With every Christmas card I write
""May your days be merry and bright
And may all your Christmases be white""

[Verse 1]
I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow

[Verse 2]
I'm dreaming of a white Christmas
With every Christmas card I write
""May your days be merry and bright
And may all your Christmases be white""

"
Christmas Crooners,Seth MacFarlane,"Baby, It's Cold Outside",https://open.spotify.com/track/5BYz6McvNTXD60vRFLkIMw,0.557,0.462,-7.093,0.551,119.125,"

I really can't stay - Baby it's cold outside
I've got to go away - Baby it's cold outside
This evening has been - Been hoping that you'd drop in
So very nice - I'll hold your hands they're just like ice

My mother will start to worry - Beautiful what's your hurry?
Father will be pacing the floor - Listen to the fireplace roar
So really I'd better scurry - Beautiful please don't hurry
Maybe just a half a drink more - Put some records on while I pour

The neighbors might think - Baby it's bad out there
Say what's in this drink? - No cabs to be had out there
I wish I knew how - Your eyes are like starlight now
To break this spell - I'll take your hat your hair looks swell

I ought to say no no no sir - Mind if I move in closer?
At least I'm gonna say that I tried - What's the sense in hurting my pride?
I really can't stay - Baby don't hold out
Ah but it's cold outside

I simply must go - But baby it's cold outside
The answer is no - But baby it's cold outside
This welcome has been - How lucky that you dropped in
So nice and warm - Look out that window at that storm

My sister will be suspicious - God your lips look so delicious
My brother will be there at the door - Waves upon the tropical shore
My maiden aunt's mind is vicious - Ooh your lips are delicious
Well maybe just a cigarette more - Never such a blizzard before

I got to get home - But baby you'd freeze out there
Say lend me your coat - It's up to your knees out there
You've really been grand - I thrill when you touch my hand
Why don't you see - How can you do this thing to me?

There's bound to be talk tomorrow - Think of my life long sorrow
At least there will be plenty implied - If you caught pneumonia and died
I really can't stay - Get over that hold out
Ah but it's cold outside
Oh baby it's cold outside
Oh baby it's cold outside

"
