playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,tempo,lyrics
Christmas Favourites,Michael Bublé,It's Beginning to Look a Lot like Christmas,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R,0.339,0.214,-11.714,0.363,94.775,"

[Verse 1]
It's beginning to look a lot like Christmas
Everywhere you go;
Take a look at the five and ten
It's glistening once again
With candy canes and silver lanes aglow

[Chorus]
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

[Hook]
A pair of hop-a-long boots and a pistol that shoots
Is the wish of Barney and Ben;
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen;
And Mom and Dad can hardly wait for school to start again

[Verse 2]
It's beginning to look a lot like Christmas
Everywhere you go;
There's a tree in the Grand Hotel one in the park as well
It's the sturdy kind that doesn't mind the snow

[Chorus 2]
It's beginning to look a lot like Christmas;
Soon the bells will start
And the thing that will make them ring is the carol that you sing
Right within your heart

[Hook 2]
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

[Outro]
So it's Christmas once more

"
Christmas Favourites,Mariah Carey,All I Want for Christmas Is You,https://open.spotify.com/track/7nQrUXVzVeYb0hAuabfmaP,0.335,0.625,-7.462,0.346,150.277,"

[Intro]
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you yeah

[Verse 1]
I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day

[Chorus]
I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You baby

[Verse 2]
Oh I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click

[Chorus]
'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby all I want for Christmas is you
You baby

[Bridge]
Oh all the lights are shining
So brightly everywhere (So brightly baby)
And the sound of children's
Laughter fills the air (Oh oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa won't you bring me the one I really need? (Yeah oh oh)
Won't you please bring my baby to me?

[Verse 3]
Oh I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door

[Chorus]
Oh I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby all I want for Christmas is you

[Outro]
You baby
All I want for Christmas is you baby (You)
All I want for Christmas is you baby (Ah oh ah oh)
All I want for Christmas is you baby (You)
All I want for Christmas is you baby (All I really want baby ooh)
All I want for Christmas is you baby (All I want all I really want is you)

"
Christmas Favourites,Wham!,Last Christmas,https://open.spotify.com/track/0QPYn15U8IQHKcH2LDfrek,0.735,0.645,-8.147,0.881,106.753,"

[Intro]
Ah aha
Ooh ohh
Ohh

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special
Last Christmas I gave you my heart
But the very next day you gave it away (You gave it away)
This year to save me from tears
I'll give it to someone special (Special)

[Verse 1]
Once bitten and twice shy
I keep my distance but you still catch my eye
Tell me baby do you recognize me?
Well it's been a year it doesn't surprise me

[Verse 2]
(Happy Christmas) I wrapped it up and sent it
With a note saying ""I love you"" I meant it
Now I know what a fool I've been
But if you kissed me now I know you'd fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away (You gave it away)
This year to save me from tears
I'll give it to someone special (Special)
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special (Special oh)
Oh oh baby

[Verse 3]
A crowded room friends with tired eyes
I'm hiding from you and your soul of ice
My God I thought you were someone to rely on
Me? I guess I was a shoulder to cry on

[Verse 4]
A face on a lover with a fire in his heart
A man under cover but you tore me apart
Ooh-hoo
Now I've found a real love you'll never fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away (You gave it away)
This year to save me from tears
I'll give it to someone special (Special)
Last Christmas I gave you my heart (I gave you my heart)
But the very next day you gave it away (You gave me away)
This year to save me from tears (Ohh)
I'll give it to someone special (Special)

[Outro]
A face on a lover with a fire in his heart (I gave you my heart)
A man under cover but you tore him apart
Maybe next year
I'll give it to someone I'll give it to someone special
Special...
Someone...

"
Christmas Favourites,The Ronettes,Sleigh Ride,https://open.spotify.com/track/1zOnUH1tBBLYREt1hgzvgf,0.528,0.772,-7.013,0.852,91.735,"

[Verse 1]
Just hear those sleigh bells jingling ring tingle tingling too
(Ring-a-ling-a ding-dong-ding!)
Come on it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
Outside the snow is falling and friends are calling ""Yoo hoo!""
(Ring-a-ling-a ding-dong-ding!)
Come on it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)

[Verse 2]
Our cheeks are nice and rosy and comfy and cozy are we
(Ring-a-ling-a ding-dong-ding!)
Were snuggled up together like two birds of a feather would be
(Ring-a-ling-a ding-dong-ding!)
Let's take the road before us and sing a chorus or two
(Ring-a-ling-a ding-dong-ding!)
Come on it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)

[Interlude]
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)

[Verse 3]
Our cheeks are nice and rosy and comfy and cozy are we
(Ring-a-ling-a ding-dong-ding!)
Were snuggled up together like two birds of a feather would be
(Ring-a-ling-a ding-dong-ding!)
Let's take the road before us and sing a chorus or two
(Ring-a-ling-a ding-dong-ding!)
Come on it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a
Ding
Dong
Ding!)

"
Christmas Favourites,Brenda Lee,Rockin' Around the Christmas Tree,https://open.spotify.com/track/09OojFvtrM9YRzRjnXqJjA,0.682,0.641,-8.915,0.826,141.002,"

[Chorus]
Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Ev'ry couple tries to stop

Rockin' around the Christmas tree
Let the Christmas spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling

[Bridge]
You will get a sentimental feeling when you hear
Voices singing ""Let's be jolly -
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way

[Bridge]
You will get a sentimental feeling when you hear
Voices singing ""Let's be jolly -
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way

"
Christmas Favourites,Andy Williams,It's the Most Wonderful Time of the Year,https://open.spotify.com/track/4DQ920CEDAOzyxeWxoidkN,0.194,0.599,-6.897,0.724,202.059,"

[Chorus]
It's the most wonderful time of the year
With the kids jingle belling
And everyone telling you ""be of good cheer""
It's the most wonderful time of the year

[Verse 1]
It's the hap-happiest season of all
With those holiday greetings
And gay happy meetings when friends come to call
It's the hap-happiest season of all

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time of the year

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time of the year

"
Christmas Favourites,Ella Fitzgerald,Have Yourself A Merry Little Christmas,https://open.spotify.com/track/47X9nPgLBHEGts5tFwpF6S,0.611,0.247,-9.038,0.484,112.239,"

Have yourself a merry little Christmas let your heart be light
Next year all our troubles will be out of sight
Have yourself a merry little Christmas make the yule-tide gay
Next year all our troubles will be miles away

Once again as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Will be near to us once more

Someday soon we all will be together if the fates allow
Until then we'll have to muddle through somehow
So have yourself a merry little Christmas now

Once again as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Will be near to us once more

Someday soon we all will be together if the fates allow
Until then we'll have to muddle through somehow
So have yourself a merry little Christmas now

"
Christmas Favourites,Michael Bublé,Jingle Bells (feat. The Puppini Sisters),https://open.spotify.com/track/5qXUIehZetSx94f6QNT88w,0.702,0.588,-5.914,0.849,122.945,"

-Merry Christmas ladies
-Merry Christmas Mr. Buble
-Are you ready to sing a little Jingle Bells?
-Yeeeees

Jingle bells jingle bells
Jingle all the way
Oh what fun it is to ride
In a one horse open sleigh
Jingle bells jingle bells
Jingle all the way
Oh what fun it is to ride
In a one horse open sleigh

Dashing through the snow
In a one horse open sleigh
O'er the fields we go
Laughing all the way
Bells on bobtail ring
Making spirits bright
What fun it is to ride and sing
A sleighing song tonight

Jingle bells j-jingle bells
Jingle all the way
Oh what fun it is to ride
In a one horse open sleigh
Jingle bells j-j-j-jingle bells
Jingle all the way
Oh what a lotta fun what a lotta fun to ride and sing
In a one horse open sleigh

Dashing through the snow (we are dashing)
In a one horse open sleigh (one horse sleigh)
O'er the fields we go (o'er the fields we go we go)
Laughing all the way (all the way)
Bells on bobtail ring

Making spirits bright
What fun it is to ride and sing
A sleighing song tonight

Jingle bells jingle bells
Jingle all the way
Oh what fun it is to ride
In a one horse open sleigh (oh what a lotta fun)
Jingle bells jingle bells
Jingle all the way
Oh what fun it is to ride
In a one horse open sleigh

Jingle bells jingle bells
Oh what fun in a one horse open sleigh
Jingle bells jingle bells
Oh what fun it is to ride
In a one horse open sleigh
(Jingle bells jingle bells
Jingle all the way)

"
Christmas Favourites,Tony Bennett,Winter Wonderland,https://open.spotify.com/track/0X6I1Ze2wVESyvyRkqdMsq,0.462,0.383,-12.556,0.616,115.582,"

Sleigh bells ring are you listening
In the lane snow is glistening
A beautiful sight
We're happy tonight
Walking in a winter wonderland

Gone stray is the bluebird
Here to stay is a new bird
He sings a love song
As we go along
Walking in a winter wonderland

In the meadow we can build a snowman
Then pretend that he is Parson Brown

He'll say: Are you married?
We'll say: No man
But you can do the job
When you're in town

Later on we'll conspire
As we dream by the fire
To face unafraid
The plans that we've made
Walking in a winter wonderland

In the meadow we can build a snowman
And pretend that he's a circus clown
We'll have lots of fun with mister snowman
Until the other kiddies knock him down

When it snows ain't it thrilling
Though your nose gets a chilling
We'll frolic and play the Eskimo way
Just walking talking
Hand in hand in a crazy winter wonderland

"
Christmas Favourites,The Jackson 5,Santa Claus Is Coming To Town,https://open.spotify.com/track/5uww9kBIHfRKs9F3C1FAKN,0.692,0.762,-4.867,0.961,146.673,"

[Chorus]
Santa Claus is comin' to town
Santa Claus is comin' to town

[Verse 1]
You'd better watch out
You'd better not cry
You'd better not pout
I'm telling you why

[Chorus]
Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town

[Verse 2]
He's making a list
And checking it twice
Gonna find out who's naughty and nice

[Chorus]
Santa Claus is comin' to town oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town

[Bridge]
He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake
(Be good for goodness sake)

[Verse 3]
Oh you'd better watch out (Watch out)
You'd better not cry (Woo hoo)
Better not pout
I'm telling you why

[Chorus]
Oh! Santa Claus is comin' to town oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town (Woo hoo)
(Woo hoo...woo hoo)
Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town

[Verse 4]
Little tin horns and little toy drums
Rooty-toot-toot and rump-a-tum-tums
Curly-haired dolls that tootle and coo
Elephants boats and kiddie cars too

[Chorus]
Oh! Santa Claus is comin' to town oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town
One more time now
Santa Claus is comin' to town oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town

"
Christmas Favourites,Boney M.,Mary's Boy Child / Oh My Lord,https://open.spotify.com/track/6YnzBV7YkaXZNCK3tlnCfg,0.776,0.703,-10.696,0.939,112.534,"

[Intro]
Mary's boy child Jesus Christ
Was born on Christmas day
And man will live forever more
Because of Christmas day

[Verse 1]
Long time ago in Bethlehem
So the Holy Bible said
Mary's boy child Jesus Christ
Was born on Christmas day

[Chorus]
Hark now hear the angels sing a king was born today
And man will live forever more
Because of Christmas day

Mary's boy child Jesus christ
Was born on Christmas day

[Verse 2]
While shepherds watch their flocks by night
They see a bright new shining star
They hear a choir sing a song the music seemed to come from afar

[Chorus]
Hark now hear the angels sing a king was born today
And man will live forever more because of Christmas day

(Humming)

[Bridge]
For a moment the world was aglow all the bells rang out
There were tears of joy and laughter
People shouted ""Let everyone know there is hope for all to find peace""

[Verse 3]
Now Joseph and his wife Mary
Came to Bethlehem that night
They found no place to bear her child not a single room was in sight

And then they found a little nook in a stable all forlorn
And in a manger cold and dark Mary's little boy was born

[Chorus]
Hark now hear the angels sing a king was born today
And man will live for evermore because of Christmas day
Mary's boy child Jesus Christ was born on Christmas day

[Bridge]
Oh a moment the world was aglow all the bells rang out
There were tears of joy and laughter
People shouted ""let everyone know there is hope for all to find peace""

[Outro]
Oh my Lord you sent your son to save us
Oh my Lord your very self you gave us
Oh my Lord that sin may not enslave us
And love may reign once more

Oh my Lord when in the crib they found him
Oh my Lord a golden halo crowned him
Oh my Lord they gathered all around him
To see him and adore

Oh my lord with the child's adoration
Oh my Lord there came great jubilation
Oh my Lord and full of admiration
They realized what they had (Until the sun falls from the sky)

(This day will live forever)
Oh my Lord they had become to doubt you (So praise the lord)
Oh my Lord what did they know about you? (He is the truth forever)
Oh my Lord but they were lost without you (So praise the lord)
They needed you so bad (His light is shining on us)

Oh my lord with the child's adoration (So praise the lord)
Oh my Lord there came great jubilation (He is a jubilation)
Oh my Lord and full of admiration (So praise the lord)
They realized what they had (Until the sun falls from the sky)

Oh my Lord you sent your son to save us (Oh praise the lord)
Oh my Lord your very self you gave us (This day will live forever)
Oh my Lord that sin may not enslave us  (So praise the lord)
And love may reign once more

"
Christmas Favourites,Burl Ives,A Holly Jolly Christmas - Single Version,https://open.spotify.com/track/2HbKKeBC5tZcrVqt7N4kXl,0.673,0.353,-14.33,0.821,142.305,"

(Ding-dong-ding)
(Ding-dong-ding)

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh ho the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) And in case you didn't hear
Oh by golly have a holly jolly Christmas this year

Have a holly jolly Christmas
It's the best time of the year

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh ho the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me

(Ding-dong-ding) Have a holly jolly Christmas
(Ding-dong-ding) And in case you didn't here
Oh by golly have a holly jolly Christmas this year

(Ding-dong-ding-dong)
(Ding-dong-ding-dong)
(Ding-dong-ding)

"
