playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,tempo,lyrics
Christmas Party,Elton John,Step Into Christmas,https://open.spotify.com/track/5pDaRonmzAV91HPxZVeiai,0.536,0.869,-8.631,0.894,140.579,"

[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh step into Christmas with me yeah

[Chorus]
Step into Christmas let's join together
We can watch the snow fall forever and ever
Eat drink and be merry come along with me
Step into Christmas the admission's free

[Verse 2]
Take care in all you do next year
And keep smilin' through the days
If we can help to entertain you
Oh we will find the ways

[Pre-Chorus]
So merry Christmas one and all
There's no place I'd rather be
Than askin' you if you'd oblige
Steppin' into Christmas with me

[Chorus]
Step into Christmas let's join together
We can watch the snow fall forever and ever
Eat drink and be merry come along with me
Step into Christmas the admission's free oh

[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh step into Christmas with me yeah

[Chorus]
Step into Christmas let's join together
We can watch the snow fall forever and ever
Eat drink and be merry come along with me
Step into Christmas the admission's free

[Chorus]
Step into Christmas let's join together
We can watch the snow fall forever and ever
Eat drink and be merry come along with me
Step into Christmas the admission's free

[Chorus]
Step into Christmas let's join together
We can watch the snow fall forever and ever
Eat drink and be merry come along with me
Step into Christmas the admission's free oh

[Outro]
(Step step into Christmas)
(Ah forever and ever)
(Yeah come along with me)
(Ah) Oh
(Step step into Christmas)
(Ah forever and ever)
(Yeah come along with me)
(Ah)

"
Christmas Party,Boney M.,Mary's Boy Child / Oh My Lord,https://open.spotify.com/track/6YnzBV7YkaXZNCK3tlnCfg,0.776,0.703,-10.696,0.939,112.534,"

[Intro]
Mary's boy child Jesus Christ
Was born on Christmas day
And man will live forever more
Because of Christmas day

[Verse 1]
Long time ago in Bethlehem
So the Holy Bible said
Mary's boy child Jesus Christ
Was born on Christmas day

[Chorus]
Hark now hear the angels sing a king was born today
And man will live forever more
Because of Christmas day

Mary's boy child Jesus christ
Was born on Christmas day

[Verse 2]
While shepherds watch their flocks by night
They see a bright new shining star
They hear a choir sing a song the music seemed to come from afar

[Chorus]
Hark now hear the angels sing a king was born today
And man will live forever more because of Christmas day

(Humming)

[Bridge]
For a moment the world was aglow all the bells rang out
There were tears of joy and laughter
People shouted ""Let everyone know there is hope for all to find peace""

[Verse 3]
Now Joseph and his wife Mary
Came to Bethlehem that night
They found no place to bear her child not a single room was in sight

And then they found a little nook in a stable all forlorn
And in a manger cold and dark Mary's little boy was born

[Chorus]
Hark now hear the angels sing a king was born today
And man will live for evermore because of Christmas day
Mary's boy child Jesus Christ was born on Christmas day

[Bridge]
Oh a moment the world was aglow all the bells rang out
There were tears of joy and laughter
People shouted ""let everyone know there is hope for all to find peace""

[Outro]
Oh my Lord you sent your son to save us
Oh my Lord your very self you gave us
Oh my Lord that sin may not enslave us
And love may reign once more

Oh my Lord when in the crib they found him
Oh my Lord a golden halo crowned him
Oh my Lord they gathered all around him
To see him and adore

Oh my lord with the child's adoration
Oh my Lord there came great jubilation
Oh my Lord and full of admiration
They realized what they had (Until the sun falls from the sky)

(This day will live forever)
Oh my Lord they had become to doubt you (So praise the lord)
Oh my Lord what did they know about you? (He is the truth forever)
Oh my Lord but they were lost without you (So praise the lord)
They needed you so bad (His light is shining on us)

Oh my lord with the child's adoration (So praise the lord)
Oh my Lord there came great jubilation (He is a jubilation)
Oh my Lord and full of admiration (So praise the lord)
They realized what they had (Until the sun falls from the sky)

Oh my Lord you sent your son to save us (Oh praise the lord)
Oh my Lord your very self you gave us (This day will live forever)
Oh my Lord that sin may not enslave us  (So praise the lord)
And love may reign once more

"
Christmas Party,Ariana Grande,Santa Tell Me,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,0.464,0.63,-7.337,0.527,132.96,"

[Chorus]
Santa tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 1]
Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
""Let It Snow"" is blasting out
But I won't get it in the mood
I'm avoiding every mistletoe until I know it's

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone boy

[Chorus]
Santa tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 2]
I've been down this road before
Fell in love on Christmas night
But on New Year's Day I woke up and he wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is just a fling or if it's

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone boy

[Chorus]
Santa tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Bridge]
Oh I wanna have him beside me like oh-woo-oh
On the 25th by that fireplace oh-woo-oh
But I don't want a new broken heart
This year I've got to be smart
Oh baby
(Santa tell me Santa tell me)
If he will be if he will be here
(Santa tell me Santa tell me)
Oh woah

[Chorus]
Santa tell me (Santa tell me) if you're really there ('Cause I really care)
Don't make me fall in love again if he won't be here next year
Santa tell me (Tell me) if he really cares (Tell me boy)
'Cause I can't give it all away if he won't be here next year

[Outro]
Santa tell me (Tell me) if you're really there (Santa baby)
Don't make me fall in love again if he won't be here next year (If he won't be if he won't be here)
Santa tell me (Tell me) if he really cares (Do you care?)
'Cause I can't give it all away if he won't be here next year

"
Christmas Party,Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version,https://open.spotify.com/track/4gavOCQdZ2g86gkvi17FM7,0.774,0.511,-8.914,0.771,94.736,"

The mood is right
The spirit's up
We're here tonight
And that's enough

Simply having a wonderful Christmastime
Simply having a wonderful Christmastime

The party's on
The feeling's here
That only comes
This time of year

Simply having a wonderful Christmastime
Simply having a wonderful Christmastime

The choir of children sing their song
Ding dong ding dong
Ding dong ding
Ooh ooh
Doo-doo doo-doo doo doo-doo

We're simply having a wonderful Christmastime
Simply having a wonderful Christmastime

The word is out
About the town
To lift a glass
Ahh and don't look down

Simply having a wonderful Christmastime

The choir of children sing their song
They practiced all year long
Ding dong ding dong
Ding dong ding dong
Ding dong ding dong

The party's on
The spirit's up
We're here tonight
And that's enough

Simply having a wonderful Christmastime
We're simply having a wonderful Christmastime

The mood is right
The spirit's up
We're here tonight
Ohh and that's enough

We're simply having a wonderful Christmastime
Simply having a wonderful Christmastime
Simply having a wonderful Christmastime
Simply having a wonderful Christmastime

Ohh-ohh-ohh-ohh
Ohh-ohh-ohh
Christmastime

"
Christmas Party,The Darkness,Christmas Time (Don't Let the Bells End),https://open.spotify.com/track/46w8k81V0eSBx64XuVHxT2,0.411,0.918,-2.761,0.432,82.634,"

[Verse 1]
Feigning joy and surprise at the gifts we despise
Over mulled wine with you
On the 25th day of the 12th month
The sleigh bells are in time ringing true

[Pre-Chorus]
How we cling each noel to that snowflake's hope in hell
That it won't end

[Chorus]
Don't let the bells end
Christmas time
Just let them ring peace

[Verse 2]
Well the weather is cruel
And the season of yule warms the heart
But it still hurts
You've got your career
Spend the best part of last year apart
And it still hurts

[Pre-Chorus]
So that's why I pray each and every Christmas day
That it won't end

[Chorus]
Don't let the bells end
Christmas time
Just let them ring peace

(Christmas time)
(Don't let the bells end)
(Christmas time)
(Don't let the bells end)

[Bridge]
Poised underneath the mistletoe leaf
And you're not here
You went away upon boxing day
Now how the hell am I going to make it into the new year?

[Solo]

[Chorus]
Christmas time
Don't let the bells end (Don't let it end)
Christmas time
Don't let the bells end
Christmas time
Don't let the bells end
Christmas time
Don't let the bells end (Just let them ring in peace)
Christmas time (C'mon kids!)
Don't let the bells end (bells end)

Christmas time
Don't let the bells end

"
Christmas Party,Wham!,Last Christmas,https://open.spotify.com/track/0QPYn15U8IQHKcH2LDfrek,0.735,0.645,-8.147,0.881,106.753,"

[Intro]
Ah aha
Ooh ohh
Ohh

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special
Last Christmas I gave you my heart
But the very next day you gave it away (You gave it away)
This year to save me from tears
I'll give it to someone special (Special)

[Verse 1]
Once bitten and twice shy
I keep my distance but you still catch my eye
Tell me baby do you recognize me?
Well it's been a year it doesn't surprise me

[Verse 2]
(Happy Christmas) I wrapped it up and sent it
With a note saying ""I love you"" I meant it
Now I know what a fool I've been
But if you kissed me now I know you'd fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away (You gave it away)
This year to save me from tears
I'll give it to someone special (Special)
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special (Special oh)
Oh oh baby

[Verse 3]
A crowded room friends with tired eyes
I'm hiding from you and your soul of ice
My God I thought you were someone to rely on
Me? I guess I was a shoulder to cry on

[Verse 4]
A face on a lover with a fire in his heart
A man under cover but you tore me apart
Ooh-hoo
Now I've found a real love you'll never fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away (You gave it away)
This year to save me from tears
I'll give it to someone special (Special)
Last Christmas I gave you my heart (I gave you my heart)
But the very next day you gave it away (You gave me away)
This year to save me from tears (Ohh)
I'll give it to someone special (Special)

[Outro]
A face on a lover with a fire in his heart (I gave you my heart)
A man under cover but you tore him apart
Maybe next year
I'll give it to someone I'll give it to someone special
Special...
Someone...

"
Christmas Party,The Jackson 5,J5 Christmas Medley,https://open.spotify.com/track/1qMFPGEDGw8RhHMcyaGoIi,0.508,0.796,-4.25,0.808,124.792,"

Santa Claus is coming to town
Santa Claus is coming to town
Tou better watch out better not cry you better not pout I'm telling you why
Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town
Here comes Santa Claus here comes Santa Claus
Here he comes. he comes
Here comes Santa Claus here comes Santa Claus
Here he comes. he comes
Up on the housetop reindeer pause
Out jumps good old Santa Claus
Down through the chimney with lots of toys
All for everyone's Christmas joys
Tito had just one desire
That he gets a new guitar
But he wants a guarantee
That it won't play out of key
Ho ho ho! Who wouldn't go?
Ho ho ho! Who wouldn't go?
Up on the housetop click click click
Down through the chimney with old St. Nick
Frosty the snowman is a fairy tale they say
He was made of snow but the children
Know how he came to life one day
There must have been some magic in that
Old silk hat they found
For when they placed it on his head

He began to dance around
O
Frosty the snowman
Was alive as he could be
And the children say he could laugh
And play just the same as you and me
Wow! Mommy's kissing Santa Claus!
I saw Mommy kissing Santa Claus
Underneath the mistletoe last night
She didn't see me creep
Down the stairs to have a peep
She thought that I was tucked up
In my bedroom fast asleep
Then I saw Mommy tickle Santa Claus
Underneath his beard so snowy white
Oh what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night
We wish you a merry Christmas we wish you a merry Christmaswe wish you a merry Christmas
And a happy new year
The jackson 5 wanna wish everyboy a merry merry christmas and a groovy new year
The jackson 5 wanna wish everyboy a merry merry christmas and a groovy new year
We wish you a merry Christmas we wish you a merry Christmaswe wish you a merry Christmas
And a happy new year

"
Christmas Party,Mariah Carey,All I Want for Christmas Is You,https://open.spotify.com/track/7nQrUXVzVeYb0hAuabfmaP,0.335,0.625,-7.462,0.346,150.277,"

[Intro]
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you yeah

[Verse 1]
I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day

[Chorus]
I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You baby

[Verse 2]
Oh I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click

[Chorus]
'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby all I want for Christmas is you
You baby

[Bridge]
Oh all the lights are shining
So brightly everywhere (So brightly baby)
And the sound of children's
Laughter fills the air (Oh oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa won't you bring me the one I really need? (Yeah oh oh)
Won't you please bring my baby to me?

[Verse 3]
Oh I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door

[Chorus]
Oh I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby all I want for Christmas is you

[Outro]
You baby
All I want for Christmas is you baby (You)
All I want for Christmas is you baby (Ah oh ah oh)
All I want for Christmas is you baby (You)
All I want for Christmas is you baby (All I really want baby ooh)
All I want for Christmas is you baby (All I want all I really want is you)

"
Christmas Party,Michael Bublé,White Christmas (with Shy'm),https://open.spotify.com/track/54fvgxr5WYXNsnmKwMc7S1,0.609,0.514,-7.589,0.594,63.44,"

I'm dreaming of a white Christmas
Just like the ones I used to know
Where the tree tops glisten
And children listen
To hear sleigh bells in the snow
I'm dreaming of a white Christmas
With every Christmas card I write
May your days may your days may your days
Be merry and bright
And may all your Christmas' be white
I'm dreaming of a white Christmas
Just like the ones I used to know
Where the tree tops glisten
And children listen
To hear sleigh bells in the snow
I'm dreaming of a white Christmas
With every Christmas card I write
May your days may your days may your days
Be merry and bright
May all your Christmas' be white
I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmas' be white

"
Christmas Party,Leona Lewis,One More Sleep,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d,0.639,0.815,-3.845,0.758,112.985,"

[Verse 1]
Snow is falling all around us
My baby's coming home for Christmas
I've been up all night inside my bedroom
He said he'll be with me real soon
So I wait
And I wait
But I've had as much as I can take

[Chorus]
'Cause I've got five more nights of sleeping on my own
Four more days until you're coming home
Three more dreams of you and mistletoe
Two more reasons why I love you so
I've got five more nights until you're next to me
Four more days of being lonely
Three more wishes I can barely breathe
If I can make it to Christmas Eve then it's
One more sleep (one more sleep until it's Christmas)
One more sleep (Can't believe how much I missed us)
One more sleep (One more sleep until it's Christmas)
One more sleep

[Verse 1]
Now I don't think I can remember
A cold and lonelier December
And I find myself singing at the window
Wondering when you're gonna get back home
So I try
And I try
But there is nothing I can do to pass this time

[Chorus]
'Cause I've got five more nights of sleeping on my own
Four more days until you're coming home
Three more dreams of you and mistletoe
Two more reasons why I love you so
I've got five more nights until you're next to me
Four more days of being lonely
Three more wishes I can barely breathe
If I can make it to Christmas Eve then it's
One more sleep (one more sleep until it's Christmas)
One more sleep (Can't believe how much I missed us)
One more sleep (One more sleep until it's Christmas)
One more sleep

[Bridge]
Until we're rocking around the Christmas tree
Until I got you sitting next to me
We got a lot of catching up to do
I just can't take this missing you

[Chorus 2]
Five more on my own
Four more days
Three more dreams mistletoe
I can't believe I ever let you go
Five more nights of sleeping on my own
Four more days untill you coming home
Three more wishes I can barely breathe
If I can make it to Christmas Eve then it's
One more sleep
One more sleep
One more sleep
One more sleep

"
