playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,tempo,lyrics
Christmas Pop,Ariana Grande,Santa Tell Me,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,-7.364,0.591,191.9,"

[Chorus]
Santa tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 1]
Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
""Let It Snow"" is blasting out
But I won't get it in the mood
I'm avoiding every mistletoe until I know it's

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone boy

[Chorus]
Santa tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 2]
I've been down this road before
Fell in love on Christmas night
But on New Year's Day I woke up and he wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is just a fling or if it's

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone boy

[Chorus]
Santa tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Bridge]
Oh I wanna have him beside me like oh-woo-oh
On the 25th by that fireplace oh-woo-oh
But I don't want a new broken heart
This year I've got to be smart
Oh baby
(Santa tell me Santa tell me)
If he will be if he will be here
(Santa tell me Santa tell me)
Oh woah

[Chorus]
Santa tell me (Santa tell me) if you're really there ('Cause I really care)
Don't make me fall in love again if he won't be here next year
Santa tell me (Tell me) if he really cares (Tell me boy)
'Cause I can't give it all away if he won't be here next year

[Outro]
Santa tell me (Tell me) if you're really there (Santa baby)
Don't make me fall in love again if he won't be here next year (If he won't be if he won't be here)
Santa tell me (Tell me) if he really cares (Do you care?)
'Cause I can't give it all away if he won't be here next year

"
Christmas Pop,Justin Bieber,Mistletoe,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,0.658,0.56,-9.049,0.854,161.994,"

[Verse 1]
It’s the most beautiful time of the year
Lights fill the streets spreading so much cheer
I should be playing in the winter snow
But I'ma be under the mistletoe
I don’t wanna miss out on the holiday
But I can’t stop staring at your face
I should be playing in the winter snow
But I'ma be under the mistletoe

[Chorus]
With you shawty with you
With you shawty with you
With you under the mistletoe

[Verse 2]
Everyone's gathering around the fire
Chestnuts roasting like a hot July
I should be chilling with my folks I know
But I'ma be under the mistletoe
Word on the street Santa's coming tonight
Reindeer's flying through the sky so high
I should be making a list I know
But I'ma be under the mistletoe

[Chorus]
With you shawty with you
With you shawty with you
With you under the mistletoe
With you shawty with you
With you shawty with you
With you under the mistletoe

[Bridge]
Ayy love the wise men followed the star
The way I followed my heart
And it led me to a miracle
Ayy love don't you buy me nothing
'Cause I am feeling one thing your lips on my lips
That’s a merry merry Christmas

[Verse 1]
It’s the most beautiful time of the year
Lights fill the streets spreading so much cheer
I should be playing in the winter snow
But I'ma be under the mistletoe
I don’t wanna miss out on the holiday
But I can’t stop staring at your face
I should be playing in the winter snow
But I'ma be under the mistletoe

[Chorus]
With you shawty with you
With you shawty with you
With you under the mistletoe yeah
With you shawty with you
With you shawty with you
With you under the mistletoe (under the mistletoe)

[Outro]
Kiss me underneath the mistletoe
Show me baby that you love me so-oh-oh oh oh oh
Kiss me underneath the mistletoe
Show me baby that you love me so-oh-oh oh oh oh

"
Christmas Pop,Mariah Carey,All I Want for Christmas Is You,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,-7.462,0.346,150.277,"

[Intro]
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you yeah

[Verse 1]
I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day

[Chorus]
I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You baby

[Verse 2]
Oh I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click

[Chorus]
'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby all I want for Christmas is you
You baby

[Bridge]
Oh all the lights are shining
So brightly everywhere (So brightly baby)
And the sound of children's
Laughter fills the air (Oh oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa won't you bring me the one I really need? (Yeah oh oh)
Won't you please bring my baby to me?

[Verse 3]
Oh I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door

[Chorus]
Oh I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby all I want for Christmas is you

[Outro]
You baby
All I want for Christmas is you baby (You)
All I want for Christmas is you baby (Ah oh ah oh)
All I want for Christmas is you baby (You)
All I want for Christmas is you baby (All I really want baby ooh)
All I want for Christmas is you baby (All I want all I really want is you)

"
Christmas Pop,Jonas Brothers,Like It's Christmas,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv,0.725,0.571,-6.007,0.61,146.035,"

[Intro]
Dum-dum-dum-dum

[Verse 1: Nick Jonas]
The snow on the ground the love in the air
Sleigh bells are ringin'
This is what it's all about
The fire is warm the angels are singin'

[Pre-Chorus: Nick Jonas with Joe Jonas]
And I don't wanna miss a single thing
Don't wanna put end to all this cheer
But as long as you're with me
It's always the time of the year

[Chorus: Joe Jonas with Nick Jonas]
You make everyday feel like it's Christmas
Never wanna stop
Feelin' like the first thing on your wishlist
Right up at the top
I can't deny what I'm feelin' inside
Nothin' fake about the way you bring me to life
You make every day feel like it's Christmas
Everyday that I'm with you

[Verse 2: Joe Jonas with Nick Jonas]
Look at the lights
Twinklin' bright 24/7
Every inch of Central Park is covered in white
This could be heaven

[Pre-Chorus: Joe Jonas with Nick Jonas]
And I don't wanna miss a single thing
Don't wanna put end to all this cheer
But as long as you're with me
It's always the time of the year yeah (woo!)

[Chorus: Joe Jonas with Nick Jonas Nick Jonas]
You make everyday feel like it's Christmas (Like it's Christmas)
Never wanna stop
Feelin' like the first thing on your wishlist
Right up at the top
I can't deny what I'm feelin' inside
Nothin' fake about the way you bring me to life
You make everyday feel like it's Christmas
Everyday that I'm with you

[Bridge: Joe Jonas & Nick Jonas]
Woo woo woo yeah (Every day that I'm with you)
Every day every night (Oh oh all day)

[Chorus: Joe Jonas with Nick Jonas]
You make everyday feel like it's Christmas
Never wanna stop
Feelin' like the first thing on your wishlist
Right up at the top (And I can't deny)
I can't deny what I'm feelin' inside
Nothin' fake about the way you bring me to life
You make everyday feel like it's Christmas
Everyday that I'm with you

[Outro: Joe Jonas & Nick Jonas]
Hey hey yeah
Everyday la-la-la
I can't deny what I'm feelin' inside
No matter the reason no matter decision
My heart will keep beatin' you better believe
You make everyday feel like it's Christmas (Like it's Christmas)
Everyday that I'm with you (Oh-oh-oh oh-oh-oh oh-oh-oh)
Everyday that I'm with you (Oh-oh-oh oh-oh-oh oh-oh-oh)
Everyday that I'm with you

"
Christmas Pop,Michael Bublé,Holly Jolly Christmas,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,0.647,0.465,-8.308,0.699,151.251,"

Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer
Have a holly jolly Christmas
And when you walk down the street
Say Hello to friends you know
And everyone you meet

Oh ho the mistletoe
Is hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly jolly Christmas
And in case you didn't hear
Oh by golly have a holly
Jolly Christmas this year

[Instrumental]

Oh ho the mistletoe
Is hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly jolly Christmas
And in case you didn't hear
Oh by golly have a holly
Jolly Christmas this year

"
Christmas Pop,Pentatonix,Hallelujah,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx,0.321,0.377,-7.385,0.367,119.483,"

[Verse 1: Scott]
I’ve heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music do you?
Well it goes like this
The fourth the fifth the minor fall the major lift
The baffled king composing Hallelujah
Hallelujah Hallelujah
Hallelujah Hallelujah

[Verse 2: Avi]
Well your faith was strong but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew ya
She tied you to the kitchen chair
She broke your throne and she cut your hair
And from your lips she drew the Hallelujah
Hallelujah Hallelujah
Hallelujah Hallelujah

[Verse 3: Kirstin]
Well baby I've been here before
I've seen this room and I've walked this floor
I used to live alone before I knew ya
And I've seen your flag on the marble arch
And love is not a vict'ry march
It's a cold and it's a broken Hallelujah
Hallelujah Hallelujah
Hallelujah Hallelujah

[Verse 4: Mitch]
Well maybe there’s a God above
But all I’ve ever learned from love
Was how to shoot somebody who outdrew ya
And it’s not a cry that you hear at night
It’s not somebody who's seen the light
It’s a cold and it’s a broken Hallelujah
Hallelujah Hallelujah
Hallelujah Hallelujah

[Outro]
Hallelujah Hallelujah
Hallelujah Hallelujah
Hallelujah Hallelujah
Hallelujah Hallelujah

"
Christmas Pop,Kelly Clarkson,Underneath the Tree,https://open.spotify.com/track/3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,-5.438,0.689,159.876,"

[Chorus]
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

[Verse 1]
Tonight I'm gonna hold you close
Make sure that you know
I was lost before you
Christmas was cold and grey
Another holiday
Alone to celebrate

[Pre-Chorus]
But then one day everything changed
You're all I need
Underneath the tree

[Chorus]
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

[Verse 2]
I found what I was looking for
A love that's meant for me
A heart that's mine completely
Knocked me right off my feet
And this year I will fall
With no worries at all

[Pre-Chorus]
'Cause you are near and everything's clear
You're all I need
Underneath the tree

[Chorus]
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

[Saxophone Solo]

[Bridge]
And then one day everything changed
You're all I need
Underneath the tree yeah

[Chorus]
You're here where you should be
Snow is falling as the carolers sing (Oh yeah yeah)
It just wasn't the same (Oh yeah yeah yeah)
Alone on Christmas day
Presents what a beautiful sight (Oh you're all I need)
Don't mean a thing if you ain't holding me tight (Underneath the tree)
You're all that I need (Underneath the tree yeah)
Underneath the tree tonight
Oh you're all I need
Underneath underneath the tree

"
Christmas Pop,Liam Payne,All I Want (For Christmas),https://open.spotify.com/track/7lbto9KYTHq5V1PetjIMOF,0.581,0.257,-10.079,0.297,140.007,"

[Verse 1]
Tell me where did we go wrong?
We should be singing Christmas songs
Instead of shouting all night long like we do
We keep fighting in the street
When we should be home wrapped in the sheets
Putting presents underneath the tree for me and you

[Pre-Chorus]
I know we had our fair share
Of breaking up and making up
I promise you we'll get there
So don't give up no

[Chorus]
If we can make it through December
Maybe we'll make it through forever
'Cause all I want for Christmas
Is you and me to fix this
If we can make it through December
Every New Year we'll be together
Baby all I want for Christmas
Is you and me to fix this

[Verse 2]
It hasn't been the greatest year
But through thick and thin we made it here
Just keep holding onto me and I'll hold you
But we made it through the hardest part
And I followed you the brightest star
I just wanna be where you are right where you are

[Pre-Chorus]
I know we've had our fair share
Of breaking up yeah and making up
But I promise you we'll get there
So don't give up no don't

[Chorus]
If we can make it through December
Maybe we'll make it through forever
'Cause all I want for Christmas
Is you and me to fix this
If we can make it through December
Every New Year we'll have together
Baby all I want for Christmas
Is you and me to fix this

[Bridge]
A-a-all I want yeah
A-a-all I want yeah
A-a-all I want yeah
A-a-all I want yeah

[Outro]
If we can make it through December (A-a-all I want yeah)
Every New Year we'll be together (A-a-all I want yeah)
'Cause all I want for Christmas (A-a-all I want yeah)
Is you and me to fix this (A-a)

"
Christmas Pop,Lukas Graham,HERE (For Christmas),https://open.spotify.com/track/1Cth2nNUYYfCiSoIei6rCi,0.742,0.625,-5.296,0.31,114.902,"

[Intro]
Oh-oh-oh-oh
Oh-oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh-oh

[Verse 1]
Every year around this time I start to think about you
We're really gonna have another Christmas Eve without you
I can't believe it's been so long
Everyday finds a way to make me think about you
Like today when we were picking out the tree without you
I can't believe it's been so long

[Pre-Chorus]
Oh we miss you like hell all the stories that you'd tell
'Bout the boat that you built but never got to sail
I don't know whether I should cry or I should smile through my tears
But if you were here we would

[Chorus]
Sail that boat into the red horizon
Those years lost I'd tell you all about 'em
Gone don't always mean that you disappear
'Cause inside all of us you're still here

[Verse 2]
Another year has passed and now it's time for buying the presents
I even got you one forgetting you're not gonna get it
I can't believe it's been so long
This time around we'll try to smile 'cause we're sick of tears
Most days are easy now but it gets hard this time of year
I can't believe you're really gone

[Pre-Chorus]
Oh we miss you like hell all the stories that you'd tell
'Bout the boat that you built but never got to sail
I don't know whether I should cry or I should smile through my tears
But if you were here we would

[Chorus]
Sail that boat into the red horizon
Those years lost I'd tell you all about 'em
Gone don't always mean that you disappear
'Cause inside all of us you're still
Wild and free I've got so many memories
Soon time too will take it all of 'em from me
Gone don't always mean that you disappear
'Cause inside all of us you're still here

[Post-Chorus]
Oh-oh-oh-oh
Oh-oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh-oh

[Bridge]
When it's dark and it's cold everyone is coming home
I just wish you could know that's when we're missin' you the most
I don't know whether I should cry or I should smile through my tears
But if you were here we would

[Chorus]
Sail that boat into the red horizon
Those years lost I'd tell you all about 'em
Gone don't always mean that you disappear
'Cause inside all of us you're still
Wild and free I've got so many memories
Soon time too will take it all of 'em from me
Gone don't always mean that you disappear
'Cause inside all of us you're still here

"
Christmas Pop,John Legend,"Baby, It's Cold Outside (feat. Kelly Clarkson)",https://open.spotify.com/track/54q6WgqyTXjwOSrevVR8z9,0.544,0.593,-6.313,0.494,135.245,"

[Verse 1: Kelly Clarkson & John Legend]
I really can't stay (Baby it's cold outside)
I've got to go away (But I can call you a ride)
This evening has been (I'm so glad that you dropped in)
So very nice (Time spent with you is paradise)
My momma will start to worry (I'll call the car and tell him to hurry)
My daddy will be pacing the floor (Wait what are you still livin' home for?)
So really I'd better scurry (Your driver his name is Murray)
But maybe just a half a drink more (Oh we're both adults so who's keepin' score?)
What will my friends think? (I think they should rejoice)
If I have one more drink? (It's your body and your choice)
Ooh you really know how (Your eyes are like starlight now)
To cast a spell (One look at you and then I fell)
I ought to say ""No no no sir"" (Then you really ought to go go go)
At least I'm gonna say that I tried (Well Murray he just pulled up outside)

[Chorus: Kelly Clarkson John Legend & Both]
Oh I really can't stay
(I understand baby)
Baby it's cold outside

[Verse 2: Kelly Clarkson & John Legend]
I simply should go (Text me when you get home)
Oh I'm supposed to say no (Mm I guess that's respectable)
This welcome has been (I've been lucky that you dropped in)
So nice and warm (But you better go before it storms)
My sister will be suspicious (Well gosh your lips look delicious)
My brother will be there at the door (Oh he loves my music baby I'm sure)
My gossipy neighbor is vicious (I'm a genie tell me what your wish is)
But maybe just a cigarette more (Oh that's somethin' we should probably explore)
I've got to get home (Oh baby I'm well aware)
Say lend me a coat (Oh keep it girl I don't care)
You've really been grand (I feel it when you touch my hands)
But don't you see? (I want you to stay it's not up to me)
There's bound to be talk tomorrow (Well they can talk but what do they know?)
At least there will be plenty implied (Oh let them mind their business and go-)
Uh ma'am I really can't stay

[Chorus: Kelly Clarkson & Both]
Baby just go
It's cold baby
It's cold baby
But ooh I don't wanna go
It's cold outside

"
