playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,tempo,lyrics
Christmas Coffeehouse,Daniela Andrade,Have Yourself a Merry Little Christmas,https://open.spotify.com/track/177r7J6bnoMnW4MQx1GQng,0.616,0.226,-7.552,0.437,95.219,"

Have yourself a merry little Christmas
Let your heart be light
Next year all our troubles will be out of sight

Have yourself a merry little Christmas
Make the Yuletide gay
Next year all our troubles will be miles away

Once again as in olden days
Happy golden days of yore
Faithful friends who were near to us
Will be dear to us once more

Through the years we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas
Have yourself a merry little Christmas
Have yourself a merry little Christmas now

"
Christmas Coffeehouse,Lydia Liza,"Baby, It's Cold Outside",https://open.spotify.com/track/3xvFTqHmlMqKjHgczCGn2C,0.633,0.331,-9.232,0.68,119.809,"

I really can't stay/(Baby I'm fine with that)

I've got to go away (Baby I'm cool with that)

This evening has been (Been hoping you get home safe)

So very nice (I'm glad you had a real good time)

My mother will start to worry (Call her so she knows that you're coming)

Father will be pacing the floor (Better get your car a-humming)

So really I'd better scurry (No rush)

Should I use the front or back door? (Which one are you pulling towards more?)

The neighbors might think (That you're a real nice girl)

What is this drink? (Pomegranate La Croix)

I wish I knew how (Maybe I can help you out)

To break this spell (I don't know what you're talking about)

I ought to say no no no (you reserve the right to say no)

At least I'm gonna say that I tried (you reserve the right to say no)

I really can't stay (...Well you don't have to)

Baby it's cold outside

I've got to get home (Do you know how to get there from here)

Say where is my coat (I'll go and grab it my dear)

You've really been grand (We'll have to do this again)

Yes I agree (How 'bout the Cheesecake Factory?)

We're bound to be talking tomorrow (Text me at your earliest convenience)

At least I have been getting that vibe (Unless I catch pneumonia and die)

I'll be on my way (Thanks for the great night)

"
Christmas Coffeehouse,Bright Eyes,White Christmas,https://open.spotify.com/track/0Xi9LfrVI0yu0WS3P0mXUE,0.48,0.0926,-19.289,0.341,114.144,"

I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow
I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white
May your days be merry and bright
And may all your Christmases be white

"
Christmas Coffeehouse,Handsome and Gretyl,O Holy Night,https://open.spotify.com/track/6IuGY9dLmKc8riJmP0RLt2,0.413,0.151,-14.294,0.297,149.554,"

O Holy Night
The stars are brightly shining
It is the night of our dear Savior's birth
Long lay the world in sin and error pining
'Til He appeared and the soul felt its worth
A thrill of hope the weary world rejoices
For yonder breaks a new and glorious morn

Fall on your knees O hear the angels voices
O night divine O night when Christ was born
O night divine O night O night divine

Led by the light of Faith serenely beaming
With glowing hearts by His cradle we stand
So led by light of a star sweetly gleaming
Here came the wise men from Orient land
The King of Kings lay thus in lowly manger;
In all our trials born to be our friend

He knows our need to our weakness is no stranger
Behold your King! Before Him lowly bend!
Behold your King! Before Him lowly bend!

Truly He taught us to love one another;
His law is love and His gospel is peace
Chains shall He break for the slave is our brother;
And in His name all oppression shall cease
Sweet hymns of joy in grateful raise we
Let all within us praise His holy name

Christ is the Lord! O praise His Name forever
His power and glory evermore proclaim
O night divine O night O night divine

"
Christmas Coffeehouse,Darlene Zschech,Little Drummer Boy,https://open.spotify.com/track/3W9Im5FFGBq3xJYZGnLUt8,0.448,0.133,-13.517,0.28,105.19,"

Come they told me pa rum pum pum pum
A newborn King to see pa rum pum pum pum
Our finest gifts we bring pa rum pum pum pum
To lay before the King pa rum pum pum pum
Rum pum pum pum rum pum pum pum
So to honor Him pa rum pum pum pum
When we come

Little baby rum pum pum pum
I am a poor boy too pa rum pum pum pum
I have no gift to bring pa rum pum pum pum
That fits to give a King pa rum pum pum pum
Rum pum pum pum rum pum pum pum

Mary nodded pa rum pum pum pum
The ox and lamb kept time pa rum pum pum pum
I played my drum for Him pa rum pum pum pum
I played my best for Him pa rum pum pum pum
Rum pum pum pum rum pum pum pum
Then He smiled at me pa rum pum pum pum
Me and my drum

"
Christmas Coffeehouse,Gabrielle Aplin,In the Bleak Midwinter,https://open.spotify.com/track/6eIlh4r8kaTAs3YQcSHkzu,0.396,0.142,-14.167,0.319,85.872,"

[Verse 1: Hannah Grace Hannah Grace and Gabrielle Aplin]
In the bleak midwinter frost winds made moan
Earth stood hard as iron water like a stone
Snow had fallen snow on snow snow on snow
In the bleak midwinter long ago

[Verse 2: Gabrielle Aplin Gabrielle Aplin and Hannah Grace]
Angels and archangels may have gathered there
Cherubim and seraphim thronged the air
But his mother only in her maiden bliss
Worshiped the beloved with a kiss
Hm

[Verse 3: Gabrielle Aplin and Hannah Grace]
Oh what can I give him poor as I am?
If I were a shepherd I would bring a lamb
If I were a wise man I would do my part
Yet what I can I give him
I will give my heart
Ooh ooh ooh
Ooh ooh ooh

[Verse 1: Gabrielle Aplin Hannah Grace]
In the bleak midwinter frost wind made moan
Earth stood hard as iron water like a stone

"
Christmas Coffeehouse,Jillian Edwards,All My Christmases,https://open.spotify.com/track/7M3k7CQYsEOknxlCrXgj1D,0.676,0.385,-7.629,0.459,127.034,"

[Intro]
Ooh Ooh Oooh
Ooh Ooh Oooh
Ooh Ooh Oo-ooh Ooh
Ooh Ooh

Ooh Ooh Oooh
Ooh Ooh Oooh
Ooh Ooh Oo-ooh Ooh
Ooh Ooh

[Verse 1]
Sleigh bells ring
Church bells too
Three days after Christmas
I met you
I wore a big white dress
You wore a fancy suit
The easiest thing
That I'll ever do
We knew it from the start
It was simple it was true
The snow fell from the sky
I fell in love with you
At least a thousand times

[Chorus]
And now
Every Christmas from now on
I'll be here by your side
And now
Every day in between
And for all of our lives
I'll be waiting under the mistletoe
And any kiss from you you know
I do I do I do
From now on
All my Christmases with you

Ooh Ooh Oooh
Ooh Ooh Oooh
Ooh Ooh Oo-ooh Ooh
Ooh Ooh

[Verse 2]
Rocking 'round the Christmas tree
Rocking 'round the world
As long as you're with me
I'll sing my songs
You keep the beat
Every Christmas honey
Where I wanna be
And for the rest of our time

[Chorus]
And now
Every Christmas from now on
I'll be here by your side
And now
Every day in between
And for all of our lives
I'll be waiting under the mistletoe
And any kiss from you you know
I do I do I do
From now on
All my Christmases with you

[Bridge]
There will be days that we'll be cold
There will be times when we won't know
What life will throw but
I'll be beside you

[Chorus]
Every Christmas from now on
I'll be here by your side
And now
Every day in between
And for all of our lives
I'll be waiting under the mistletoe
And any kiss from you you know
I do I do I do
From now on
All my Christmases
From now on
Every New Years kiss
From now on
All my Christmases with you

Ooh Ooh Oooh
Ooh Ooh Oooh
Ooh Ooh Oo-ooh Ooh
Ooh Ooh

[Outro]
Every day is Christmas (Ooh Ooh Oooh)
Every day I'm living by your side (Ooh Ooh Oooh)
Ooh Ooh Oo-ooh Ooh
Ooh Ooh

Ooh Ooh Oooh
Ooh Ooh Oooh
All my Christmases darling (Ooh Ooh Oo-ooh Ooh Ooh Ooh)
With you

"
Christmas Coffeehouse,Jason Mraz,Winter Wonderland,https://open.spotify.com/track/4425Ek0Mx6KMRljlN0Zg3p,0.632,0.336,-8.08,0.694,145.193,"

Sleigh bells ring are you listening
In the lane snow is glistening
A beautiful sight
We're happy tonight
We're walking in a winter wonderland

And gone away (gone away) is the bluebird (is the bluebird)
But here to stay stay stay is a new bird
He sings a love song
As we go along
We're walking in a winter wonderland

In the meadow we can build a snowman
And pretend that he is Parson Brown
He'll say: Are you married?
We'll say: No man
But you can do the job
When you're in town

Later on (later on! ) we'll conspire
As we dream by the fire babe
We'll face unafraid
All the plans that we've made
We're walking in a winter wonderland

In the meadow we can build a snowman
And pretend that he's Parson Brown
He'll say: Are you married?
We'll say: No man
But you can do the job
When you're in town

And later on (later on! ) we'll conspire
As we dream by the fire
We'll face unafraid
All the plans that we've made
We're walking in a winter wonderland

We'll face unafraid
All the plans that we've made
We're walking in a winter wonderland

We'll face unafraid
All the plans that we've made
We're walking in a winter wonderland
(Walking in a winter wonderland.)

"
Christmas Coffeehouse,Handsome and Gretyl,Joy to the World,https://open.spotify.com/track/0xc5KjVhHz4clU9sq0Kx0R,0.605,0.492,-11.067,0.441,156.015,"

O Holy Night
The stars are brightly shining
It is the night of our dear Savior's birth
Long lay the world in sin and error pining
'Til He appeared and the soul felt its worth
A thrill of hope the weary world rejoices
For yonder breaks a new and glorious morn

Fall on your knees O hear the angels voices
O night divine O night when Christ was born
O night divine O night O night divine

Led by the light of Faith serenely beaming
With glowing hearts by His cradle we stand
So led by light of a star sweetly gleaming
Here came the wise men from Orient land
The King of Kings lay thus in lowly manger;
In all our trials born to be our friend

He knows our need to our weakness is no stranger
Behold your King! Before Him lowly bend!
Behold your King! Before Him lowly bend!

Truly He taught us to love one another;
His law is love and His gospel is peace
Chains shall He break for the slave is our brother;
And in His name all oppression shall cease
Sweet hymns of joy in grateful raise we
Let all within us praise His holy name

Christ is the Lord! O praise His Name forever
His power and glory evermore proclaim
O night divine O night O night divine

"
Christmas Coffeehouse,Josh Garrels,What Child Is This,https://open.spotify.com/track/4vMeO6jafDMycnkrBvizrF,0.289,0.205,-14.91,0.192,123.826,"

What child is this who laid to rest
On Mary's lap is sleeping
Whom Angels greet
With anthems sweet
While shepherds watch are keeping

Why lies He in such mean estate
Where ox and ass are feeding
Good Christians fear
For sinners here
The silent Word is pleading

This this is Christ the King
Whom shepherds guard and angels sing
Haste haste to bring Him laud
The babe the Son of Mary

So bring Him incense gold and myrrh
Come peasant king to own Him
The King of Kings salvation brings
Let loving hearts enthrone Him

Nails spears shall pierce Him through
The cross He bore for me for you
Hail hail the word made flesh
The babe the Son of Mary

"
